NAME,TEAM,SALARY(M),GP,MPG,PPG,FG_PC,3P_PC,FT_PC,RPG,APG,STPG,BLKPG,POSITION
Derrick Favors,Utah Jazz,6,73,30.2,13.3,0.52,0,0.67,8.7,1.2,1,1.5,PF
Elton Brand,Atlanta Hawks,4,73,19.4,5.7,0.54,0,0.65,4.9,1,0.6,1.2,PF
James Harden,Houston Rockets,13.7,73,38,25.4,0.46,0.37,0.87,4.7,6.1,1.6,0.4,SG
Jeff Ayres,San Antonio Spurs,1.8,73,13,3.3,0.58,0,0.69,3.5,0.8,0.2,0.3,PF
Kemba Walker,Charlotte Bobcats,2.6,73,35.8,17.7,0.39,0.33,0.84,4.2,6.1,1.2,0.4,PG
Kirk Hinrich,Chicago Bulls,4.1,73,29,9.1,0.39,0.35,0.76,2.6,3.9,1.1,0.4,SG
Mike Conley,Memphis Grizzlies,8.6,73,33.5,17.2,0.45,0.36,0.82,2.9,6,1.5,0.2,PG
Ray Allen,Miami Heat,3.2,73,26.5,9.6,0.44,0.38,0.91,2.8,2,0.7,0.1,SG
Rodney Stuckey,Detroit Pistons,8.5,73,26.7,13.9,0.44,0.27,0.84,2.3,2.1,0.7,0.1,PG
Rudy Gay,Toronto Raptors,17.9,73,34.7,20,0.46,0.33,0.82,6,2.9,1.3,0.8,SF
Shane Battier,Miami Heat,3.3,73,20.1,4.1,0.38,0.35,0.65,1.9,0.9,0.7,0.5,SF
Shelvin Mack,Atlanta Hawks,0.9,73,20.4,7.5,0.42,0.34,0.87,2.2,3.7,0.7,0,PG
Brandon Knight,Milwaukee Bucks,2.8,72,33.3,17.9,0.42,0.33,0.8,3.5,4.9,1,0.2,PG
Brian Roberts,New Orleans Pelicans,0.8,72,23.2,9.4,0.42,0.36,0.94,1.9,3.3,0.6,0.1,PG
Jerryd Bayless,Memphis Grizzlies,3.1,72,23.4,9.3,0.4,0.36,0.8,2,2.7,0.8,0.1,PG
Marcus Thornton,Sacramento Kings,8.1,72,24.2,9.8,0.39,0.35,0.8,2.8,1.1,0.8,0.2,SG
Matthew Dellavedova,Cleveland Cavaliers,0.5,72,17.7,4.7,0.41,0.37,0.79,1.7,2.6,0.5,0.1,SG
Mirza Teletovic,Brooklyn Nets,3.2,72,19.4,8.6,0.42,0.39,0.71,3.7,0.8,0.4,0.3,PF
Tony Wroten,Philadelphia 76ers,1.2,72,24.5,13,0.43,0.21,0.64,3.2,3,1.1,0.2,SG
Trevor Booker,Washington Wizards,2.4,72,21.6,6.8,0.55,0,0.62,5.3,0.9,0.6,0.6,PF
Tyreke Evans,New Orleans Pelicans,11.8,72,28.2,14.5,0.44,0.22,0.77,4.7,5,1.2,0.3,SG
D.J. Augustin,Toronto Raptors,0.7,71,27.3,13.1,0.42,0.4,0.89,1.8,4.4,0.8,0,PG
DeMarcus Cousins,Sacramento Kings,4.9,71,32.4,22.7,0.5,0,0.73,11.7,2.9,1.5,1.3,C
Diante Garrett,Utah Jazz,0.7,71,14.8,3.5,0.38,0.38,0.83,1.4,1.7,0.6,0.1,PG
Dwight Howard,Houston Rockets,20.5,71,33.7,18.3,0.59,0.29,0.55,12.2,1.8,0.9,1.8,C
Jeremy Lin,Houston Rockets,8.4,71,28.9,12.5,0.45,0.36,0.82,2.6,4.1,1,0.4,PG
