Year,acadpr01,birthyr,carede01,cocurr01,commute,enrlment,enter,envadm,envcompt,envdivrs,envevent,envnacad,envschol,envsocal,envsuprt,envstu,envfac,fathredu,mothredu,gnanaly,gncitizn,gncmpts,gncommun,gndivers,gnethics,gngenled,gninq,gnothers,gnprobsv,gnquant,gnself,gnspeak,gnwork,gnwrite,internat,livenow,race05,sex,social01/social05
2003,5,79,1,2,3,2,1,6,3,2,4,1,4,1,3,5,7,5,3,3,1,1,1,1,1,2,4,2,1,1,1,1,3,1,1,3,4,2,2
2003,6,80,8,2,6,2,1,3,4,1,3,1,1,1,2,5,5,5,3,2,1,3,1,1,1,3,2,2,2,2,1,1,4,3,1,3,3,2,3
2003,5,80,1,2,2,2,1,3,3,2,3,2,4,3,3,6,4,5,3,3,2,3,3,3,3,4,3,3,3,3,3,3,4,3,1,3,4,2,2
2003,3,81,1,6,2,2,1,3,4,2,4,3,3,3,2,7,5,5,3,3,4,2,4,2,4,4,4,4,3,3,2,3,4,4,1,1,4,1,3
2003,2,80,1,3,2,2,1,2,3,2,2,1,3,2,3,6,7,4,4,4,1,3,2,2,2,3,2,3,2,2,2,4,4,4,1,3,4,1,4
2003,3,79,1,2,2,2,1,6,4,1,2,1,2,2,2,4,5,4,4,4,1,3,1,2,1,3,3,4,3,3,3,3,1,4,1,1,4,1,3
2003,2,78,8,1,3,1,2,3,4,1,1,1,2,2,2,6,6,4,4,3,1,4,2,2,2,4,2,3,2,2,2,3,4,2,1,3,4,2,7
2003,6,64,1,2,3,2,2,2,2,2,3,1,4,2,2,4,5,3,5,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,3,4,2,4
2003,4,79,2,1,2,2,2,5,3,3,3,3,3,3,3,7,7,3,5,4,3,4,3,3,4,4,4,4,3,3,4,4,4,4,1,3,4,2,3
2003,3,82,1,2,2,2,1,3,3,1,3,2,2,2,2,4,5,3,5,2,1,4,2,1,3,3,3,3,3,2,3,3,2,3,1,3,4,2,5
2003,4,80,1,3,1,1,1,4,4,1,4,1,2,4,1,6,5,3,5,2,4,4,1,1,2,3,2,3,3,1,1,3,3,1,1,2,4,2,4
2003,3,69,1,1,1,2,2,4,4,2,3,2,4,2,2,5,5,3,5,2,2,3,2,2,2,3,4,3,2,3,2,2,2,2,1,3,3,2,2
2003,3,80,1,2,3,2,2,6,4,2,2,2,3,2,3,6,5,3,5,3,2,3,3,3,2,3,3,3,3,3,3,2,3,2,1,3,4,1,3
2003,2,78,1,1,3,2,1,5,4,3,2,2,3,2,3,7,7,3,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,1,3,4,1,2
2003,3,53,3,1,2,1,1,7,4,3,2,1,3,2,3,4,4,3,5,3,1,3,1,3,1,4,3,3,1,2,3,3,3,4,1,3,4,2,3
2003,4,80,4,1,2,1,1,6,4,2,1,2,3,3,3,5,6,3,5,3,3,3,2,2,3,3,3,3,4,3,2,3,3,4,1,3,4,2,4
2003,4,80,1,1,2,2,1,2,4,3,2,1,3,1,2,6,6,3,5,4,1,3,1,2,1,4,3,3,3,4,2,1,2,3,1,3,4,2,2
2003,6,78,2,5,2,2,1,2,4,2,3,2,3,1,3,6,6,3,5,3,3,4,2,3,3,3,3,4,3,3,4,4,3,3,1,3,4,1,3
2003,3,80,1,2,2,2,2,3,4,1,3,1,3,2,2,4,5,3,5,3,1,4,1,2,1,2,4,3,2,3,2,2,3,3,1,2,4,1,4
2003,2,71,8,1,2,1,1,5,4,1,2,3,2,1,3,5,6,3,5,3,1,4,3,2,3,4,3,4,3,2,4,3,4,4,1,3,4,2,2
2003,4,73,2,1,2,1,2,6,3,1,4,1,3,1,2,3,6,3,5,4,1,4,1,1,1,3,4,2,4,3,2,2,3,2,1,3,4,1,3
2003,6,79,1,7,4,1,1,6,4,2,4,3,3,3,2,7,5,3,5,3,4,4,3,3,3,4,4,4,2,3,4,3,4,3,1,3,4,1,5
